[ 5131.299438] [i] Total hammer attempts per row: 1637815
[ 5131.311340] PUF Read:0x00000000 at 0xa0010274
[ 5131.311401] PUF Read:0x00000001 at 0xa0010278
[ 5131.311401] PUF Read:0x00000000 at 0xa001027c
[ 5131.311462] PUF Read:0x00000000 at 0xa0010280
[ 5131.311462] PUF Read:0x00000000 at 0xa0010284
[ 5131.311462] PUF Read:0x00000000 at 0xa0010288
[ 5131.311462] PUF Read:0x00000000 at 0xa001028c
[ 5131.311462] PUF Read:0x00000000 at 0xa0010290
[ 5131.311462] PUF Read:0x00000000 at 0xa0010294
[ 5131.311614] PUF Read:0x00000000 at 0xa0010298
[ 5131.311614] PUF Read:0x00000000 at 0xa001029c
[ 5131.311614] PUF Read:0x00000000 at 0xa00102a0
[ 5131.311614] PUF Read:0x00000000 at 0xa00102a4
[ 5131.311614] PUF Read:0x00000000 at 0xa00102a8
[ 5131.311614] PUF Read:0x00000000 at 0xa00102ac
[ 5131.311767] PUF Read:0x01000000 at 0xa00102b0
[ 5131.311767] PUF Read:0x00000000 at 0xa00102b4
[ 5131.311828] PUF Read:0x00000000 at 0xa00102b8
[ 5131.311828] PUF Read:0x01000001 at 0xa00102bc
[ 5131.311828] PUF Read:0x00000000 at 0xa00102c0
[ 5131.311889] PUF Read:0x00000000 at 0xa00102c4
[ 5131.311920] PUF Read:0x00000000 at 0xa00102c8
[ 5131.311920] PUF Read:0x00000001 at 0xa00102cc
[ 5131.311981] PUF Read:0x00000000 at 0xa00102d0
[ 5131.311981] PUF Read:0x00000000 at 0xa00102d4
[ 5131.311981] PUF Read:0x00000000 at 0xa00102d8
[ 5131.312042] PUF Read:0x00000000 at 0xa00102dc
[ 5131.312072] PUF Read:0x00010000 at 0xa00102e0
[ 5131.312072] PUF Read:0x00000000 at 0xa00102e4
[ 5131.312072] PUF Read:0x00000000 at 0xa00102e8
[ 5131.312133] PUF Read:0x00000000 at 0xa00102ec
[ 5131.312133] PUF Read:0x00000000 at 0xa00102f0
[ 5131.312194] PUF Read:0x00000040 at 0xa00102f4
