[ 4390.782470] PUF Read:0xaaaaa2aa at 0xa00083dc
[ 4390.782470] PUF Read:0xaabeaaaa at 0xa00083e0
[ 4390.782531] PUF Read:0xb2aaa8aa at 0xa00083e4
[ 4390.782531] PUF Read:0xaaaaaa2a at 0xa00083e8
[ 4390.782592] PUF Read:0xaaaaaaaa at 0xa00083ec
[ 4390.782623] PUF Read:0xaaa8aeaa at 0xa00083f0
[ 4390.782623] PUF Read:0xaeaaaaaa at 0xa00083f4
[ 4390.782684] PUF Read:0xaaaaaaae at 0xa00083f8
[ 4390.782684] PUF Read:0x8aaeeaaa at 0xa00083fc
[ 4390.782684] PUF Read:0xaaa2aeea at 0xa0010000
[ 4390.782745] PUF Read:0xaaa8aaaa at 0xa0010004
[ 4390.782775] PUF Read:0xaaaaaaaa at 0xa0010008
[ 4390.782775] PUF Read:0xa28aeaaa at 0xa001000c
[ 4390.782775] PUF Read:0xaaaaaaaa at 0xa0010010
[ 4390.782836] PUF Read:0xabeaaaaa at 0xa0010014
[ 4390.782836] PUF Read:0xabaaaaaa at 0xa0010018
[ 4390.782897] PUF Read:0xaeaaaaaa at 0xa001001c
[ 4390.782928] PUF Read:0xaaaaa9aa at 0xa0010020
[ 4390.782928] PUF Read:0xaeaaaaaa at 0xa0010024
[ 4390.782928] PUF Read:0xaaaa2aaa at 0xa0010028
[ 4390.782989] PUF Read:0xaaaaaaaa at 0xa001002c
[ 4390.782989] PUF Read:0xaaaaaa8a at 0xa0010030
[ 4390.783050] PUF Read:0xaaeaaaaa at 0xa0010034
[ 4390.783081] PUF Read:0xaaaaaaaa at 0xa0010038
[ 4390.783081] PUF Read:0xaaaaaaaa at 0xa001003c
[ 4390.783081] PUF Read:0xaaaaaaaa at 0xa0010040
[ 4390.783142] PUF Read:0xaeaaaab8 at 0xa0010044
[ 4390.783142] PUF Read:0xaaaaaaaa at 0xa0010048
[ 4390.783203] PUF Read:0xebaaaaaa at 0xa001004c
[ 4390.783233] PUF Read:0x8aaaaa8a at 0xa0010050
[ 4390.783233] PUF Read:0xaaa2aaaa at 0xa0010054
[ 4390.783233] PUF Read:0xaaaaaaaa at 0xa0010058
[ 4390.783294] PUF Read:0x8abaaeaa at 0xa001005c
[ 4390.783294] PUF Read:0xaabaaaaa at 0xa0010060
[ 4390.783355] PUF Read:0xaaaaaaaa at 0xa0010064
[ 4390.783386] PUF Read:0xaaaaaaaa at 0xa0010068
[ 4390.783386] PUF Read:0x2aaaaaaa at 0xa001006c
[ 4390.783386] PUF Read:0xaaaaaaaa at 0xa0010070
[ 4390.783447] PUF Read:0xa8aaaaaa at 0xa0010074
[ 4390.783447] PUF Read:0xaaaaaaaa at 0xa0010078
[ 4390.783508] PUF Read:0xaaaaa8aa at 0xa001007c
[ 4390.783538] PUF Read:0xaaaaabaa at 0xa0010080
[ 4390.783538] PUF Read:0xaaaaaaaa at 0xa0010084
[ 4390.783599] PUF Read:0xaabaaaaa at 0xa0010088
[ 4390.783599] PUF Read:0xaaaaaa2a at 0xa001008c
[ 4390.783599] PUF Read:0xaaaaaaaa at 0xa0010090
[ 4390.783599] PUF Read:0x2aaaaaaa at 0xa0010094
[ 4390.783691] PUF Read:0xaaaaaaaa at 0xa0010098
[ 4390.783752] PUF Read:0xaaaaaaaa at 0xa001009c
[ 4390.783752] PUF Read:0xaaaaaaaa at 0xa00100a0
[ 4390.783752] PUF Read:0xaaaaa2aa at 0xa00100a4
[ 4390.783752] PUF Read:0xa8aaaaaa at 0xa00100a8
[ 4390.783752] PUF Read:0xeaaaaaaa at 0xa00100ac
[ 4390.783874] PUF Read:0xaeaaaaaa at 0xa00100b0
[ 4390.783874] PUF Read:0xaaaaaaaa at 0xa00100b4
[ 4390.783935] PUF Read:0xaaaaaaaa at 0xa00100b8
[ 4390.783966] PUF Read:0xaaaaaaaa at 0xa00100bc
[ 4390.783966] PUF Read:0xaaaaaaaa at 0xa00100c0
[ 4390.783966] PUF Read:0x2aaaaaaa at 0xa00100c4
[ 4390.784027] PUF Read:0xaaaaaaaa at 0xa00100c8
[ 4390.784027] PUF Read:0xabaaaaba at 0xa00100cc
[ 4390.784088] PUF Read:0xaae8abaa at 0xa00100d0
[ 4390.784118] PUF Read:0xaaaa2aaa at 0xa00100d4
[ 4390.784118] PUF Read:0x8aaeaaaa at 0xa00100d8
[ 4390.784179] PUF Read:0xaaaaaa2a at 0xa00100dc
[ 4390.784179] PUF Read:0xaaaaaaaa at 0xa00100e0
[ 4390.784179] PUF Read:0xaaaaeaaa at 0xa00100e4
[ 4390.784179] PUF Read:0xaaaaa2aa at 0xa00100e8
[ 4390.784271] PUF Read:0xaaaaaaaa at 0xa00100ec
[ 4390.784271] PUF Read:0xaaaaaaaa at 0xa00100f0
[ 4390.784271] PUF Read:0xaaaaaaaa at 0xa00100f4
[ 4390.784271] PUF Read:0xaaaa2aaa at 0xa00100f8
[ 4390.784271] PUF Read:0xaaafaaaa at 0xa00100fc
[ 4390.784271] PUF Read:0xaa2aaaaa at 0xa0010100
[ 4390.784423] PUF Read:0xaaaaaaaa at 0xa0010104
[ 4390.784454] PUF Read:0xaaaaaaaa at 0xa0010108
[ 4390.784454] PUF Read:0xaebfaaaa at 0xa001010c
[ 4390.784454] PUF Read:0xaaaaa8ab at 0xa0010110
[ 4390.784515] PUF Read:0xaaaaaaaa at 0xa0010114
[ 4390.784515] PUF Read:0xaaaaaaa2 at 0xa0010118
[ 4390.784576] PUF Read:0xbaaaaa8a at 0xa001011c
[ 4390.784606] PUF Read:0xaeaaaaaa at 0xa0010120
[ 4390.784606] PUF Read:0xaaaeaaa2 at 0xa0010124
[ 4390.784606] PUF Read:0xaaaaaaaa at 0xa0010128
[ 4390.784667] PUF Read:0xaaaaaaaa at 0xa001012c
[ 4390.784667] PUF Read:0xaaaaaaaa at 0xa0010130
[ 4390.784729] PUF Read:0xaaaaeaaa at 0xa0010134
[ 4390.784759] PUF Read:0xbaaa2aaa at 0xa0010138
[ 4390.784759] PUF Read:0xaa8aaaa8 at 0xa001013c
[ 4390.784759] PUF Read:0xaeeaaaa8 at 0xa0010140
[ 4390.784820] PUF Read:0xaaaaaaab at 0xa0010144
[ 4390.784820] PUF Read:0xaaaaaaaa at 0xa0010148
[ 4390.784881] PUF Read:0xaaaaaaaa at 0xa001014c
[ 4390.784912] PUF Read:0xaaaaaaaa at 0xa0010150
[ 4390.784912] PUF Read:0xaaaaaaaa at 0xa0010154
[ 4390.784912] PUF Read:0xaaaaaaaa at 0xa0010158
[ 4390.784973] PUF Read:0xaaaaaaaa at 0xa001015c
[ 4390.784973] PUF Read:0xaaaaeaaa at 0xa0010160
[ 4390.785034] PUF Read:0xa8aaaaaa at 0xa0010164
[ 4390.785064] PUF Read:0x2aaaaaaa at 0xa0010168
[ 4390.785064] PUF Read:0xaaaaaaaa at 0xa001016c
[ 4390.785064] PUF Read:0xaaaaaaea at 0xa0010170
[ 4390.785125] PUF Read:0xaaabaaaa at 0xa0010174
[ 4390.785125] PUF Read:0xaaaa6aaa at 0xa0010178
[ 4390.785186] PUF Read:0xaaaaaaaa at 0xa001017c
[ 4390.785217] PUF Read:0xaaaaaaaa at 0xa0010180
[ 4390.785217] PUF Read:0xaaaaabaa at 0xa0010184
[ 4390.785278] PUF Read:0xaaaaaaaa at 0xa0010188
[ 4390.785278] PUF Read:0x22aaaaaa at 0xa001018c
[ 4390.785278] PUF Read:0xabaaaaaa at 0xa0010190
[ 4390.785339] PUF Read:0xaa2aaaaa at 0xa0010194
[ 4390.785369] PUF Read:0xaaaaa8aa at 0xa0010198
[ 4390.785400] PUF Read:0xaaaaaaaa at 0xa001019c
[ 4390.785400] PUF Read:0xaaabaaaa at 0xa00101a0
[ 4390.785400] PUF Read:0xaaaaaaaa at 0xa00101a4
[ 4390.785400] PUF Read:0xaaaaaaaa at 0xa00101a8
[ 4390.785400] PUF Read:0xaaaaaaaa at 0xa00101ac
[ 4390.785400] PUF Read:0xaa8aaaaa at 0xa00101b0
[ 4390.785552] PUF Read:0xaafaaaaa at 0xa00101b4
[ 4390.785552] PUF Read:0xaaaaaaaa at 0xa00101b8
[ 4390.785614] PUF Read:0xaaaaaaaa at 0xa00101bc
[ 4390.785614] PUF Read:0xaaaaaaaa at 0xa00101c0
[ 4390.785614] PUF Read:0xa2aaaeaa at 0xa00101c4
[ 4390.785675] PUF Read:0xaaaaaaaa at 0xa00101c8
[ 4390.785705] PUF Read:0xaaaaaaaa at 0xa00101cc
[ 4390.785705] PUF Read:0xaaaaaaaa at 0xa00101d0
[ 4390.785766] PUF Read:0xaa2aaaaa at 0xa00101d4
[ 4390.785766] PUF Read:0xaaaaabaa at 0xa00101d8
[ 4390.785766] PUF Read:0xaeaaaaaa at 0xa00101dc
[ 4390.785766] PUF Read:0xaaaaaaab at 0xa00101e0
[ 4390.785858] PUF Read:0xbaaaaaaa at 0xa00101e4
[ 4390.785858] PUF Read:0xaa2aaaaa at 0xa00101e8
[ 4390.785858] PUF Read:0xaaaa8aa8 at 0xa00101ec
[ 4390.785858] PUF Read:0xbaaaaaaa at 0xa00101f0
[ 4390.785858] PUF Read:0xaa2aaaaa at 0xa00101f4
[ 4390.785980] PUF Read:0xaaa8a2aa at 0xa00101f8
[ 4390.786010] PUF Read:0xaaaaaaaa at 0xa00101fc
[ 4390.786010] PUF Read:0xaaaaa2aa at 0xa0010200
[ 4390.786010] PUF Read:0xaaaaaaaa at 0xa0010204
[ 4390.786010] PUF Read:0xaaaaa888 at 0xa0010208
[ 4390.786010] PUF Read:0xaaaaaaae at 0xa001020c
[ 4390.786010] PUF Read:0xaa8aaaaa at 0xa0010210
[ 4390.786163] PUF Read:0xaaaaabaa at 0xa0010214
[ 4390.786163] PUF Read:0xaaaaaaaa at 0xa0010218
[ 4390.786163] PUF Read:0xaaabaaaa at 0xa001021c
[ 4390.786163] PUF Read:0xaaa2aaea at 0xa0010220
[ 4390.786163] PUF Read:0xaaaaaaaa at 0xa0010224
[ 4390.786163] PUF Read:0xaafaaaaa at 0xa0010228
[ 4390.786315] PUF Read:0xaaaaa8aa at 0xa001022c
[ 4390.786315] PUF Read:0xaaaaaaaa at 0xa0010230
[ 4390.786315] PUF Read:0xaaaabaaa at 0xa0010234
[ 4390.786315] PUF Read:0xaaaaaaaa at 0xa0010238
