[ 1170.352355] PUF Read:0x00000000 at 0xa0008380
[ 1170.352355] PUF Read:0x00000000 at 0xa0008384
[ 1170.352416] PUF Read:0x00000000 at 0xa0008388
[ 1170.352447] PUF Read:0x00000000 at 0xa000838c
[ 1170.352447] PUF Read:0x00000001 at 0xa0008390
[ 1170.352447] PUF Read:0x00000100 at 0xa0008394
[ 1170.352508] PUF Read:0x00000000 at 0xa0008398
[ 1170.352508] PUF Read:0x00000000 at 0xa000839c
[ 1170.352569] PUF Read:0x00000000 at 0xa00083a0
[ 1170.352569] PUF Read:0x00000000 at 0xa00083a4
[ 1170.352569] PUF Read:0x00000000 at 0xa00083a8
[ 1170.352569] PUF Read:0x00001000 at 0xa00083ac
[ 1170.352569] PUF Read:0x00000000 at 0xa00083b0
[ 1170.352569] PUF Read:0x00000000 at 0xa00083b4
[ 1170.352569] PUF Read:0x00000000 at 0xa00083b8
[ 1170.352752] PUF Read:0x00000000 at 0xa00083bc
[ 1170.352752] PUF Read:0x00000000 at 0xa00083c0
[ 1170.352752] PUF Read:0x04000000 at 0xa00083c4
[ 1170.352752] PUF Read:0x00000000 at 0xa00083c8
[ 1170.352752] PUF Read:0x00000000 at 0xa00083cc
[ 1170.352752] PUF Read:0x00000000 at 0xa00083d0
[ 1170.352905] PUF Read:0x00010000 at 0xa00083d4
[ 1170.352905] PUF Read:0x00000000 at 0xa00083d8
[ 1170.352905] PUF Read:0x00000000 at 0xa00083dc
[ 1170.352905] PUF Read:0x00140000 at 0xa00083e0
[ 1170.352905] PUF Read:0x10000000 at 0xa00083e4
[ 1170.352905] PUF Read:0x00000000 at 0xa00083e8
[ 1170.353057] PUF Read:0x00000000 at 0xa00083ec
[ 1170.353057] PUF Read:0x00000400 at 0xa00083f0
[ 1170.353057] PUF Read:0x04000000 at 0xa00083f4
[ 1170.353057] PUF Read:0x00000004 at 0xa00083f8
[ 1170.353057] PUF Read:0x00044000 at 0xa00083fc
[ 1170.353057] PUF Read:0x00000440 at 0xa0010000
[ 1170.353210] PUF Read:0x00000000 at 0xa0010004
[ 1170.353210] PUF Read:0x00000000 at 0xa0010008
[ 1170.353210] PUF Read:0x00004000 at 0xa001000c
[ 1170.353210] PUF Read:0x00000000 at 0xa0010010
[ 1170.353210] PUF Read:0x01400000 at 0xa0010014
[ 1170.353210] PUF Read:0x01000000 at 0xa0010018
[ 1170.353363] PUF Read:0x04000000 at 0xa001001c
[ 1170.353363] PUF Read:0x00000100 at 0xa0010020
[ 1170.353363] PUF Read:0x04000000 at 0xa0010024
[ 1170.353363] PUF Read:0x00000000 at 0xa0010028
[ 1170.353363] PUF Read:0x00000000 at 0xa001002c
[ 1170.353485] PUF Read:0x00000000 at 0xa0010030
[ 1170.353515] PUF Read:0x00400040 at 0xa0010034
[ 1170.353515] PUF Read:0x00000000 at 0xa0010038
[ 1170.353515] PUF Read:0x00000000 at 0xa001003c
[ 1170.353576] PUF Read:0x00000000 at 0xa0010040
[ 1170.353576] PUF Read:0x04000010 at 0xa0010044
[ 1170.353637] PUF Read:0x00000000 at 0xa0010048
[ 1170.353668] PUF Read:0x41000000 at 0xa001004c
[ 1170.353668] PUF Read:0x00000000 at 0xa0010050
[ 1170.353668] PUF Read:0x00000000 at 0xa0010054
[ 1170.353729] PUF Read:0x00000000 at 0xa0010058
[ 1170.353729] PUF Read:0x00100400 at 0xa001005c
[ 1170.353790] PUF Read:0x00100000 at 0xa0010060
[ 1170.353820] PUF Read:0x00000000 at 0xa0010064
[ 1170.353820] PUF Read:0x00000000 at 0xa0010068
[ 1170.353820] PUF Read:0x00000000 at 0xa001006c
[ 1170.353881] PUF Read:0x00000000 at 0xa0010070
[ 1170.353881] PUF Read:0x00000000 at 0xa0010074
[ 1170.353942] PUF Read:0x00000040 at 0xa0010078
[ 1170.353973] PUF Read:0x00000000 at 0xa001007c
[ 1170.353973] PUF Read:0x00000100 at 0xa0010080
[ 1170.353973] PUF Read:0x00000000 at 0xa0010084
[ 1170.354034] PUF Read:0x00100000 at 0xa0010088
[ 1170.354034] PUF Read:0x00000000 at 0xa001008c
[ 1170.354125] PUF Read:0x00000000 at 0xa0010090
[ 1170.354156] PUF Read:0x00000000 at 0xa0010094
[ 1170.354187] PUF Read:0x00000000 at 0xa0010098
[ 1170.354187] PUF Read:0x00000000 at 0xa001009c
[ 1170.354187] PUF Read:0x00000000 at 0xa00100a0
[ 1170.354187] PUF Read:0x00000000 at 0xa00100a4
[ 1170.354278] PUF Read:0x00000000 at 0xa00100a8
[ 1170.354278] PUF Read:0x40000000 at 0xa00100ac
[ 1170.354339] PUF Read:0x04000000 at 0xa00100b0
[ 1170.354370] PUF Read:0x00000000 at 0xa00100b4
[ 1170.354370] PUF Read:0x00000000 at 0xa00100b8
[ 1170.354370] PUF Read:0x00000000 at 0xa00100bc
[ 1170.354431] PUF Read:0x00000000 at 0xa00100c0
[ 1170.354431] PUF Read:0x00000000 at 0xa00100c4
[ 1170.354492] PUF Read:0x00000000 at 0xa00100c8
[ 1170.354522] PUF Read:0x01000010 at 0xa00100cc
[ 1170.354522] PUF Read:0x00400100 at 0xa00100d0
[ 1170.354522] PUF Read:0x00000000 at 0xa00100d4
[ 1170.354583] PUF Read:0x00040000 at 0xa00100d8
[ 1170.354583] PUF Read:0x00000000 at 0xa00100dc
[ 1170.354644] PUF Read:0x00000000 at 0xa00100e0
[ 1170.354675] PUF Read:0x00004400 at 0xa00100e4
[ 1170.354675] PUF Read:0x00000000 at 0xa00100e8
[ 1170.354675] PUF Read:0x00000000 at 0xa00100ec
[ 1170.354736] PUF Read:0x00000000 at 0xa00100f0
[ 1170.354736] PUF Read:0x00000000 at 0xa00100f4
[ 1170.354797] PUF Read:0x00000000 at 0xa00100f8
[ 1170.354797] PUF Read:0x00050000 at 0xa00100fc
[ 1170.354797] PUF Read:0x00000000 at 0xa0010100
[ 1170.354797] PUF Read:0x10000000 at 0xa0010104
[ 1170.354797] PUF Read:0x00000000 at 0xa0010108
[ 1170.354797] PUF Read:0x04150000 at 0xa001010c
[ 1170.354949] PUF Read:0x00000001 at 0xa0010110
[ 1170.354949] PUF Read:0x00000000 at 0xa0010114
[ 1170.354949] PUF Read:0x00000000 at 0xa0010118
[ 1170.354949] PUF Read:0x10000000 at 0xa001011c
[ 1170.354949] PUF Read:0x04000000 at 0xa0010120
[ 1170.354949] PUF Read:0x00040000 at 0xa0010124
[ 1170.355102] PUF Read:0x00000000 at 0xa0010128
[ 1170.355102] PUF Read:0x00000000 at 0xa001012c
[ 1170.355163] PUF Read:0x00000000 at 0xa0010130
[ 1170.355163] PUF Read:0x00004000 at 0xa0010134
[ 1170.355163] PUF Read:0x10000000 at 0xa0010138
[ 1170.355224] PUF Read:0x00000000 at 0xa001013c
[ 1170.355255] PUF Read:0x04400000 at 0xa0010140
[ 1170.355255] PUF Read:0x00000001 at 0xa0010144
[ 1170.355255] PUF Read:0x00000000 at 0xa0010148
[ 1170.355316] PUF Read:0x00000000 at 0xa001014c
[ 1170.355316] PUF Read:0x00000000 at 0xa0010150
[ 1170.355377] PUF Read:0x00000000 at 0xa0010154
[ 1170.355407] PUF Read:0x00000000 at 0xa0010158
[ 1170.355407] PUF Read:0x00000000 at 0xa001015c
[ 1170.355407] PUF Read:0x00004000 at 0xa0010160
[ 1170.355468] PUF Read:0x00000000 at 0xa0010164
[ 1170.355468] PUF Read:0x00000000 at 0xa0010168
[ 1170.355529] PUF Read:0x00000100 at 0xa001016c
[ 1170.355560] PUF Read:0x00000040 at 0xa0010170
[ 1170.355560] PUF Read:0x04010400 at 0xa0010174
[ 1170.355560] PUF Read:0x01004000 at 0xa0010178
[ 1170.355621] PUF Read:0x00000000 at 0xa001017c
[ 1170.355621] PUF Read:0x00000000 at 0xa0010180
[ 1170.355682] PUF Read:0x00000100 at 0xa0010184
[ 1170.355712] PUF Read:0x00000000 at 0xa0010188
[ 1170.355712] PUF Read:0x00000000 at 0xa001018c
[ 1170.355712] PUF Read:0x01000000 at 0xa0010190
[ 1170.355712] PUF Read:0x00000000 at 0xa0010194
[ 1170.355712] PUF Read:0x00000000 at 0xa0010198
[ 1170.355712] PUF Read:0x00000000 at 0xa001019c
[ 1170.355865] PUF Read:0x00010000 at 0xa00101a0
[ 1170.355865] PUF Read:0x00000000 at 0xa00101a4
[ 1170.355865] PUF Read:0x00000000 at 0xa00101a8
[ 1170.355865] PUF Read:0x00000000 at 0xa00101ac
[ 1170.355865] PUF Read:0x00000000 at 0xa00101b0
[ 1170.355865] PUF Read:0x00500000 at 0xa00101b4
[ 1170.356018] PUF Read:0x00000000 at 0xa00101b8
[ 1170.356018] PUF Read:0x00000000 at 0xa00101bc
[ 1170.356018] PUF Read:0x00000000 at 0xa00101c0
[ 1170.356018] PUF Read:0x00000400 at 0xa00101c4
[ 1170.356018] PUF Read:0x00000000 at 0xa00101c8
[ 1170.356018] PUF Read:0x00000000 at 0xa00101cc
[ 1170.356170] PUF Read:0x00000000 at 0xa00101d0
[ 1170.356170] PUF Read:0x00000000 at 0xa00101d4
[ 1170.356170] PUF Read:0x00000100 at 0xa00101d8
[ 1170.356170] PUF Read:0x04000000 at 0xa00101dc
[ 1170.356170] PUF Read:0x00000001 at 0xa00101e0
[ 1170.356170] PUF Read:0x10000000 at 0xa00101e4
[ 1170.356323] PUF Read:0x40000000 at 0xa00101e8
[ 1170.356323] PUF Read:0x00000000 at 0xa00101ec
[ 1170.356323] PUF Read:0x10000000 at 0xa00101f0
[ 1170.356323] PUF Read:0x00000000 at 0xa00101f4
[ 1170.356323] PUF Read:0x00000000 at 0xa00101f8
[ 1170.356323] PUF Read:0x00000000 at 0xa00101fc
[ 1170.356475] PUF Read:0x00000000 at 0xa0010200
[ 1170.356475] PUF Read:0x00000000 at 0xa0010204
[ 1170.356475] PUF Read:0x00000000 at 0xa0010208
[ 1170.356475] PUF Read:0x00000004 at 0xa001020c
[ 1170.356475] PUF Read:0x00000000 at 0xa0010210
[ 1170.356475] PUF Read:0x00000100 at 0xa0010214
[ 1170.356628] PUF Read:0x00000000 at 0xa0010218
[ 1170.356628] PUF Read:0x00010000 at 0xa001021c
[ 1170.356628] PUF Read:0x00000040 at 0xa0010220
[ 1170.356628] PUF Read:0x00000000 at 0xa0010224
[ 1170.356628] PUF Read:0x00500000 at 0xa0010228
[ 1170.356750] PUF Read:0x00000000 at 0xa001022c
[ 1170.356781] PUF Read:0x00000000 at 0xa0010230
[ 1170.356781] PUF Read:0x00001000 at 0xa0010234
[ 1170.356842] PUF Read:0x00000000 at 0xa0010238
[ 1170.356842] PUF Read:0x00000000 at 0xa001023c
[ 1170.356842] PUF Read:0x00000000 at 0xa0010240
[ 1170.356903] PUF Read:0x00000000 at 0xa0010244
[ 1170.356933] PUF Read:0x00000000 at 0xa0010248
[ 1170.356933] PUF Read:0x00000000 at 0xa001024c
[ 1170.356933] PUF Read:0x00000000 at 0xa0010250
[ 1170.356994] PUF Read:0x00000000 at 0xa0010254
[ 1170.356994] PUF Read:0x00440000 at 0xa0010258
[ 1170.357055] PUF Read:0x00000000 at 0xa001025c
[ 1170.357086] PUF Read:0x00000000 at 0xa0010260
[ 1170.357086] PUF Read:0x00000040 at 0xa0010264
[ 1170.357086] PUF Read:0x00004000 at 0xa0010268
[ 1170.357147] PUF Read:0x00000000 at 0xa001026c
[ 1170.357147] PUF Read:0x00000000 at 0xa0010270
[ 1170.357208] PUF Read:0x00000000 at 0xa0010274
[ 1170.357238] PUF Read:0x00000001 at 0xa0010278
[ 1170.357238] PUF Read:0x00000000 at 0xa001027c
[ 1170.357238] PUF Read:0x00000000 at 0xa0010280
[ 1170.357238] PUF Read:0x00000000 at 0xa0010284
[ 1170.357238] PUF Read:0x00000000 at 0xa0010288
[ 1170.357238] PUF Read:0x00000000 at 0xa001028c
[ 1170.357391] PUF Read:0x00000000 at 0xa0010290
[ 1170.357391] PUF Read:0x00000000 at 0xa0010294
[ 1170.357452] PUF Read:0x00000000 at 0xa0010298
[ 1170.357452] PUF Read:0x00000000 at 0xa001029c
[ 1170.357452] PUF Read:0x00000000 at 0xa00102a0
[ 1170.357513] PUF Read:0x00000001 at 0xa00102a4
[ 1170.357543] PUF Read:0x00000000 at 0xa00102a8
[ 1170.357543] PUF Read:0x00000000 at 0xa00102ac
