[ 3849.860565] PUF Read:0xaaa8aaaa at 0xa00082f4
[ 3849.860595] PUF Read:0xaaaaaaaa at 0xa00082f8
[ 3849.860595] PUF Read:0xaaaaaaaa at 0xa00082fc
[ 3849.860595] PUF Read:0xaaaaaaaa at 0xa0008300
[ 3849.860656] PUF Read:0xaaaaaaaa at 0xa0008304
[ 3849.860656] PUF Read:0xaaaa8aaa at 0xa0008308
[ 3849.860656] PUF Read:0xaaaaaaaa at 0xa000830c
[ 3849.860748] PUF Read:0xaaaaaa8a at 0xa0008310
[ 3849.860748] PUF Read:0xaaaaaaaa at 0xa0008314
[ 3849.860748] PUF Read:0x2beaaaaa at 0xa0008318
[ 3849.860748] PUF Read:0xbaaaaaaa at 0xa000831c
[ 3849.860748] PUF Read:0xaaaa8aaa at 0xa0008320
[ 3849.860748] PUF Read:0xaaaaaaaa at 0xa0008324
[ 3849.860900] PUF Read:0xaaaaaaaa at 0xa0008328
[ 3849.860900] PUF Read:0xaaaaaaaa at 0xa000832c
[ 3849.860900] PUF Read:0xaaaaaaae at 0xa0008330
[ 3849.860900] PUF Read:0xaaaaaaaa at 0xa0008334
[ 3849.860900] PUF Read:0xaaaaaaaa at 0xa0008338
[ 3849.860900] PUF Read:0xaaaaaaaa at 0xa000833c
[ 3849.861053] PUF Read:0xaaaaaaaa at 0xa0008340
[ 3849.861053] PUF Read:0xaaaaaaab at 0xa0008344
[ 3849.861114] PUF Read:0xaaaaaaaa at 0xa0008348
[ 3849.861114] PUF Read:0xaaaaabaa at 0xa000834c
[ 3849.861114] PUF Read:0xaaaa8a8a at 0xa0008350
[ 3849.861114] PUF Read:0x8aaaaaaa at 0xa0008354
[ 3849.861206] PUF Read:0xaaaaaaaa at 0xa0008358
[ 3849.861206] PUF Read:0xaaaaaaaa at 0xa000835c
[ 3849.861206] PUF Read:0xaaabaaaa at 0xa0008360
[ 3849.861206] PUF Read:0xaaaaaa2a at 0xa0008364
[ 3849.861206] PUF Read:0xaaaaaaaa at 0xa0008368
[ 3849.861206] PUF Read:0xaaaaaeaa at 0xa000836c
[ 3849.861358] PUF Read:0xaaaaaaaa at 0xa0008370
[ 3849.861358] PUF Read:0xaaaaaaaa at 0xa0008374
[ 3849.861358] PUF Read:0xeaaa8aaa at 0xa0008378
[ 3849.861358] PUF Read:0xaaaaaaaa at 0xa000837c
[ 3849.861358] PUF Read:0xaaaaaaa8 at 0xa0008380
[ 3849.861358] PUF Read:0xaaaaaaaa at 0xa0008384
[ 3849.861511] PUF Read:0xaaaaaaaa at 0xa0008388
[ 3849.861511] PUF Read:0xaaaaaaaa at 0xa000838c
[ 3849.861511] PUF Read:0xaaaaaaab at 0xa0008390
[ 3849.861511] PUF Read:0xaaaaabaa at 0xa0008394
[ 3849.861511] PUF Read:0xaaaaaaaa at 0xa0008398
[ 3849.861511] PUF Read:0xaaa2aaaa at 0xa000839c
